# Williamsburg Handmade Oil Colors (Golden Artist Colors)
#
# COUVERTURE : les 180 teintes de la gamme, au complet - series regulieres, safflower
# (prefixe SF), iridescentes et interference comprises.
#
# PROVENANCE : noms, references, pigments et opacite releves le 15/09/2026 dans les
# donnees de la fiche pigments du fabricant (goldenartistcolors.com/products/
# williamsburg-artist-oil-colors/oil-colors/pigment-data), qui publie pour chaque
# couleur la liste complete de ses index couleur. 170 teintes portent verified=true.
#
# LES 10 AUTRES : les iridescentes et les interference sont declarees "N/A" par le
# fabricant, faute d'index couleur. Elles reprennent le pseudo-code EFFEKT / ALU des
# gammes Schmincke et restent marquees verified=false.
#
# HEX : le fabricant ne publie une valeur colorimetrique que pour 34 teintes, reprises
# telles quelles. Pour les autres on garde le hex de l'ancien fichier quand le nom
# correspond, sinon la case reste vide et la couleur est derivee des pigments.
#
# Les nuanciers peints du fabricant n'ont PAS servi a mesurer les teintes : ce sont des
# photographies d'empatements ou le blanc de titane se lit #D7D7D4. Le biais de clarte
# est d'environ 6 points, bien davantage sur les transparentes, et une correction
# d'exposition calee sur les blancs degrade encore le resultat (ecart median a la
# valeur officielle : 8,6 avant, 9,4 apres).
brand;name;code;pigments;opacity;hex;verified
Williamsburg;Payne's Grey (Violet);6001063;PBr7 PV23 PB29;SEMI_OPAQUE;;true
Williamsburg;Veronese Green;6001103;PW6 PG7 PY3;OPAQUE;;true
Williamsburg;Earth Green;6001122;PY43 PBk11 PG7;SEMI_OPAQUE;;true
Williamsburg;Cadmium Green Light;6001146;PY35 PG18;OPAQUE;;true
Williamsburg;Cinnabar Green Light;6001153;PY3 PW6 PB29 PB15;SEMI_OPAQUE;;true
Williamsburg;Permanent Green Light;6001163;PY3 PG7;SEMI_OPAQUE;#007740;true
Williamsburg;Cadmium Green;6001186;PG18 PY35;OPAQUE;;true
Williamsburg;Chromium Oxide Green;6001223;PG17;OPAQUE;#3C6B3B;true
Williamsburg;Viridian;6001245;PG18;SEMI_TRANSPARENT;#0F6B54;true
Williamsburg;Cobalt Green;6001250;PG26;OPAQUE;#305A4D;true
Williamsburg;Permanent Green;6001263;PY74 PG7 PY65;SEMI_OPAQUE;;true
Williamsburg;Phthalo Green-Yellowish;6001264;PG36;TRANSPARENT;;true
Williamsburg;Phthalo Green;6001284;PG7;TRANSPARENT;#0A5A46;true
Williamsburg;Sap Green;6001303;PY42 PY129 PG7;SEMI_TRANSPARENT;#4C6B23;true
Williamsburg;Courbet Green;6001323;PR102 PY65 PB27;SEMI_OPAQUE;;true
Williamsburg;Mars Yellow Light;6001342;PY42;OPAQUE;;true
Williamsburg;Mars Yellow Deep;6001362;PY42 PR101;OPAQUE;;true
Williamsburg;Mars Orange;6001382;PR101 PY42;OPAQUE;;true
Williamsburg;Yellow Ochre;6001401;PY43;SEMI_OPAQUE;;true
Williamsburg;Mars Red Light;6001402;PR101;OPAQUE;;true
Williamsburg;Mars Red;6001422;PR101;OPAQUE;#9E3A28;true
Williamsburg;Mars Violet;6001442;PR101;OPAQUE;;true
Williamsburg;Stil de Grain;6001464;PY42;TRANSPARENT;;true
