# Winsor & Newton - Artists' Oil Colour
#
# COUVERTURE : 130 teintes sur les 137 que publie le fabricant.
#
# PROVENANCE : noms, numeros de couleur, pigments et opacite releves le 15/09/2026
# dans le tableau "Specifications" des fiches produit du fabricant
# (winsornewton.com/collections/artists-oil), qui imprime pour chaque teinte SKU,
# Colour Number, Opacity, Series et Pigment Code. 113 teintes portent verified=true.
#
# NON PUBLIE : 24 teintes n'affichent aucun code pigment - toute la ligne Cadmium-Free
# (formule protegee) et les metalliques. Les metalliques prennent le pseudo-code
# EFFEKT / ALU ; les autres gardent la composition de l'ancien fichier. Toutes sont
# marquees verified=false.
#
# ABSENTES : Transparent Orange, Rose Dore, Cinnabar Green, Mineral Grey,
# Ultramarine Ash, Warm White et Royal Blue. Ni le fabricant ni l'ancien fichier ne
# donnent leur composition, et le chargeur exige au moins un pigment par ligne. Elles
# etaient deja absentes du catalogue precedent. A saisir a la main si vous les possedez.
#
# HEX : W&N ne publie aucune valeur colorimetrique. La colonne reprend celle de
# l'ancien fichier quand le nom correspond, sinon la couleur est derivee des pigments.
brand;name;code;pigments;opacity;hex;verified
Winsor & Newton;Vandyke Brown;676;PBk9 PBr7 PR101;TRANSPARENT;#221417;true
Winsor & Newton;Raw Umber;554;PBr7;SEMI_TRANSPARENT;#4E4133;true
Winsor & Newton;Raw Umber (Green Shade);558;PBr7;SEMI_TRANSPARENT;;true
Winsor & Newton;Davy's Gray;217;PBk19 PBk7 PY42;SEMI_TRANSPARENT;#6E6E63;true
Winsor & Newton;Payne's Gray;465;PB29 PBk19 PBk6 PR101;SEMI_TRANSPARENT;#3A4552;true
Winsor & Newton;Blue Black;34;PB29 PBk9;SEMI_OPAQUE;#22262E;true
Winsor & Newton;Indigo;322;PB15 PB29 PBk7;TRANSPARENT;#0B5EAA;true
Winsor & Newton;Charcoal Grey;142;PBk8;SEMI_TRANSPARENT;#212222;true
Winsor & Newton;Lamp Black;337;PBk6;OPAQUE;#1C1B1A;true
Winsor & Newton;Perylene Black;505;PBk31;SEMI_TRANSPARENT;#1F3327;true
Winsor & Newton;Flake White Hue;242;PW4 PW6;OPAQUE;#F7F4EC;true
Winsor & Newton;Zinc White;748;PW4;OPAQUE;#F7F7F5;true
Winsor & Newton;Underpainting White (Fast Drying);674;PW4 PW6;OPAQUE;;true
Winsor & Newton;Titanium White;644;PW4 PW6;OPAQUE;#F7F5F0;true
